Title,Year,Cited By,Link,Abstract,Document Type,Source,Evaluation,Methodology,Clarity,Completeness,Transparency
"Evaluating privacy, security, and trust perceptions in conversational AI: A systematic review",2024,1,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196415357&origin=inward,None,Article,Scopus,0,0,0,0,0
Equip public managers with data analytics skills: a proposal for the new generation of MPA/MPP programs with data science track,2024,5,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85146189972&origin=inward,None,Review,Scopus,0,0,0,0,0
Ethical AI and data management strategies in marketing,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85201728279&origin=inward,None,Book,Scopus,0,0,0,0,0
Machine learning for power outage prediction during hurricanes: An extensive review,2024,2,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85186270012&origin=inward,None,Article,Scopus,0,0,0,0,0
"Impact, Compliance, and Countermeasures in Relation to Data Breaches in Publicly Traded U.S. Companies",2024,2,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85197167023&origin=inward,None,Article,Scopus,0,0,0,0,0
Blockchain and IoT Approaches for Secure Electronic Health Records (EHR),2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196449950&origin=inward,None,Book,Scopus,0,0,0,0,0
“Our Users' Privacy is Paramount to Us”: A Discourse Analysis of How Period and Fertility Tracking App Companies Address the Roe v. Wade Overturn,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194891093&origin=inward,None,Conference Paper,Scopus,0,0,0,0,0
Bitacora: A Toolkit for Supporting Non-Profits to Critically Reflect on Social Media Data Use,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194835450&origin=inward,None,Conference Paper,Scopus,0,0,0,0,0
Harnessing Machine Learning to Unveil Emotional Responses to Hateful Content on Social Media,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85193922252&origin=inward,None,Article,Scopus,0,0,0,0,0
Heart or mind? The impact of congruence on the persuasiveness of cognitive versus affective appeals in debunking messages on social media during public health crises,2024,2,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182889754&origin=inward,None,Article,Scopus,0,0,0,0,0
OSINT Research Studios: A Flexible Crowdsourcing Framework to Scale Up Open Source Intelligence Investigations,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85193393463&origin=inward,None,Article,Scopus,0,0,0,0,0
Adoption of identity theft protection services in social media: A PMT investigation,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194225477&origin=inward,None,Article,Scopus,0,0,0,0,0
Convergence of industry 4.0 and supply chain sustainability,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190888558&origin=inward,None,Book,Scopus,0,0,0,0,0
Sustainability metrics and measurement in industry 4.0-enabled SCM,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190880901&origin=inward,None,Book Chapter,Scopus,0,0,0,0,0
Exploring Higher Education Mobility through the Lens of Academic Tourism: Portugal as a Study Case,2024,1,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85185962002&origin=inward,None,Article,Scopus,0,0,0,0,0
Deciphering the resistance behaviours towards mobile commerce applications: A Mobile Commerce Applications Resistance Theory (MOCART),2024,2,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85181586862&origin=inward,None,Article,Scopus,0,0,0,0,0
A framework for cyber-risk insurance against ransomware: A mixed-method approach,2024,5,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85175568120&origin=inward,None,Article,Scopus,0,0,0,0,0
Understanding the Privacy Practices of Political Campaigns: A Perspective from the 2020 US Election Websites,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85204088127&origin=inward,None,Conference Paper,Scopus,0,0,0,0,0
Two paths of balancing technology and ethics: A comparative study on AI governance in China and Germany,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85203259589&origin=inward,None,Article,Scopus,0,0,0,0,0
Big data analytics in construction: laying the groundwork for improved project outcomes,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85203210366&origin=inward,None,Book Chapter,Scopus,0,0,0,0,0
"Resisting State Surveillance in the Digital Age: Precarious Coalitions, Contested Knowledge, and Diverse Opposition to Mass-Surveillance in the UK",2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85201471780&origin=inward,None,Book,Scopus,0,0,0,0,0
"Environmental Attitude, Global Social Responsibility, and Digital Literacy: Predictors of Green Purchase Intentions Among Emerging Adults",2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85198420403&origin=inward,None,Book Chapter,Scopus,0,0,0,0,0
The Impact of Board Characteristics on the Level of Voluntary Disclosure: Evidence from Palestinian Listed Companies,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85195926687&origin=inward,None,Book Chapter,Scopus,0,0,0,0,0
Systematic Literature Review of Cloud Computing Research Between 2010 and 2023,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85195287349&origin=inward,None,Conference Paper,Scopus,0,0,0,0,0
Predictive Analytics in Marketing Using Artificial Intelligence,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192155033&origin=inward,None,Conference Paper,Scopus,0,0,0,0,0
